Value,Jonl
1.0,Newton-Maxwell Journal of Physics
1.0,Next-Generation Optical Communication …
1.0,Next-Generation Optical …
1.0,NextGen Network Synchronization
1.0,Nonlinear Dynamics
1.0,Nonlinear Optics and Applications XII
1.0,Nonlinear Optics and …
1.0,Nuclear Engineering and …
1.0,Nuclear Technology
1.0,Nutrients
3.0,OSA Continuum
1.0,Ocean Conservancy
1.0,Ophthalmology Glaucoma
1.0,Opt. Express
1.0,Opt. Lett
10.1,Optica
1.0,Optical Components and Materials XVIII
1.0,Optical Components and Materials …
1.0,Optical Components and …
1.0,Optical Elastography and Tissue Biomechanics VIII
1.0,Optical Elastography and Tissue …
1.0,Optical Elastography and …
2.0,Optical Engineering
3.0,Optical Fiber Technology
1.0,Optical Fibers and Sensors for Medical Diagnostics …
1.0,Optical Interconnects XXI
1.0,Optical Materials
1.0,Optical Materials Express
1.0,Optical Review
2.0,Optical Sensors
2.0,Optical Sensors 
1.0,Optical Switching and Networking
1.0,Optical Switching and …
1.0,Optical Techniques in Neurosurgery …
1.0,Optical and Quantum Electronics
1.0,Optical and Quantum Sensing and Precision Metrology
1.0,Optical and Quantum Sensing and …
1.0,Optical and Quantum …
3.0,Optics & Laser Technology
3.0,Optics Communications
6.0,Optics Express
1.0,Optics Frontiers Online  …
1.0,Optics Frontiers Online : Distributed Optical Fiber …
1.0,Optics Frontiers Online : Distributed Optical …
1.0,Optics Frontiers Online : Distributed …
8.0,Optics Letters
5.0,Optics and Lasers in Engineering
1.0,Optics and Lasers in …
2.0,Optik
6.0,Opto-Electronic Advances
4.0,Opto-Electronics Review
1.0,Optoelectronics Letters
1.0,Oxford Research Encyclopedia of Psychology
1.0,Oxidative Medicine and Cellular …
1.0,Oxide-based Materials and …
1.0,PAIN
1.0,PHOTOPTICS
1.0,PLOS Computational Biology
1.0,PLOS Neglected Tropical …
1.0,PNRPU Mechanics Bulletin
1.0,PSIQUEMAG/Revista Científica Digital de …
1.0,Paddy and Water Environment
1.0,Pain Medicine
1.0,PalArch's Journal of Archaeology of …
1.0,Palliative & Supportive Care
1.0,Patient Education and …
1.0,PeerJ
1.0,Personality Disorders: Theory
1.0,Pharmaceutics
1.0,Pharmacological Reports
1.0,Pharmacological Research
1.0,Pharmacological Reviews
1.0,Pharmacology & …
1.0,Pharmacology Biochemistry and Behavior
1.0,Photoacoustics
1.0,Photodetectors
1.0,Photonic Heat Engines: Science and Applications III
1.0,Photonic Instrumentation …
1.0,Photonic Network Communications
3.0,Photonic Sensors
1.0,Photonics
4.0,Photonics Research
1.0,Photons Plus Ultrasound …
1.0,Photons Plus Ultrasound: Imaging …
1.0,Physica B: Condensed Matter
1.0,Physica E: Low-dimensional …
1.0,Physica Scripta
1.0,Physical Chemistry Chemical Physics
2.0,Physical Review A
2.0,Physical Review Applied
2.0,Physical Review B
2.0,Physical Review Letters
1.0,Physical Review Materials
1.0,Physical Review Research
1.0,Physical Therapy
1.0,Physics Letters A
1.0,Physics and Simulation of …
1.0,Physiology & Behavior
1.0,Phytotherapy Research
1.0,Plasmonics
1.0,PloS one
1.0,Polarized Light and Optical Angular Momentum for …
1.0,Polarized Light and Optical …
1.0,Polymer Composites
1.0,Polymer Testing
1.0,Polymers
1.0,Power (dBm)
1.0,Proceedings of  International Conference on …
1.0,Proceedings of Engineering and Technology …
1.0,Proceedings of Second …
1.0,Proceedings of the  CHI Conference on …
1.0,Proceedings of the  International Conference on …
1.0,Proceedings of the  …
1.0,Proceedings of the 8th International Multidisciplinary …
1.0,Proceedings of the Fifteenth International Conference …
1.0,Proceedings of the Institution of Mechanical …
1.0,Proceedings of the Institution of …
1.0,Proceedings of the International Conference on Civil …
1.0,Proceedings of the National Academy of Sciences
1.0,Proceedings of the National …
1.0,Professional Psychology: Research and Practice
1.0,Professional Psychology: Research and …
1.0,Progress In Electromagnetics …
1.0,Progress In …
1.0,Progress in Neuro …
1.0,Progress in Neuro-Psychopharmacology and …
1.0,Progress in Neurobiology
1.0,Progress of Theoretical and Experimental Physics
1.0,Prostate Cancer and Prostatic Diseases
1.0,Protoplasma
1.0,Przegląd Elektrotechniczny
1.0,Psicoterapia Cognitiva e Comportamentale
1.0,Psicothema
1.0,Psychiatria Polska
1.0,Psychiatric Services
1.0,Psychiatry
1.0,Psychiatry Research
1.0,Psychiatry Research …
1.0,Psychiatry and Clinical …
1.0,Psycho-Oncology
1.0,Psychological Medicine
1.0,Psychology of Addictive …
1.0,Psychology of Substance Abuse: Psychotherapy …
1.0,Psychoneuroendocrinology of Psychosis Disorders
1.0,Psychopharmacology
1.0,Psychotherapy
1.0,Psychotherapy Research
1.0,Psycho‐Oncology
1.0,Pulse
1.0,Quality of Life Research
1.0,Quantitative Imaging in Medicine and …
1.0,Quantitative Imaging in …
1.0,Quantum Electronics
1.0,Química Nova
1.0,RNA biology
1.0,RSC Chemical Biology
1.0,Radiation Measurements
1.0,Remote Sensing
1.0,Remote Sensing Applications: Society and …
1.0,Renewable Energy
1.0,Research
1.0,Results in Optics
1.0,Results in Physics
1.0,Review of Scientific Instruments
1.0,Revista Mexicana de Física
1.0,Rock Mechanics and Rock Engineering
1.0,Rock and Soil Mechanics
1.0,Russian Physics Journal
1.0,SEG  Workshop: 2nd SEG Borehole Geophysics …
1.0,SEG  Workshop: 2nd SEG Borehole …
1.0,SEG  Workshop: 2nd …
1.0,SENSORNETS
1.0,SMSI -Sensors and Instrumentation
1.0,SN Applied Sciences
1.0,SN Comprehensive Clinical …
1.0,SPE Hydraulic Fracturing Technology Conference and …
1.0,SPE Hydraulic Fracturing Technology …
1.0,SPE Hydraulic Fracturing …
1.0,SPE Journal
1.0,SPE Reservoir Evaluation & Engineering
1.0,SPE Western Regional …
1.0,SPE/IADC International Drilling Conference …
1.0,SPE/IADC International …
1.0,SPWLA 62nd Annual …
1.0,STAR Protocols
1.0,STRESS AND STRUGGLES
1.0,Sakarya University Journal of Science
1.0,Saratov Fall Meeting  …
1.0,Saratov Fall Meeting : Optical and …
1.0,School Mental Health
10.0,Science
3.0,Science Advances
3.0,Science Bulletin
1.0,Science China Materials
1.0,Science Robotics
1.0,Science and Innovation of Advanced Materials …
1.0,Science of The Total Environment
1.0,Science of The Total …
1.0,Scientific Data
4.0,Scientific Reports
1.0,Scientific Reports (Nature Publisher Group)
1.0,Scientific Reports (Nature Publisher …
1.0,Scientific Reports (Nature …
1.0,Scientific reports
1.0,Scripta Materialia
1.0,Seismic Instruments
1.0,Seismological Research Letters
1.0,Seismological Research …
1.0,Semiconductor Physics
1.0,Semiconductors
1.0,Seminars in Cell & …
1.0,Sensing and Imaging
2.0,Sensor Review
3.0,Sensors
2.0,Sensors and Actuators A …
2.0,Sensors and Actuators A: Physical
2.0,Sensors and Actuators B
3.0,Sensors and Actuators B 
3.0,Sensors and Actuators B …
2.0,Sensors and Actuators B: Chemical
1.0,Sensors and Actuators Reports
1.0,Sensors and Materials
1.0,Sensors and Microsystems …
1.0,Sensors and Smart Structures Technologies for Civil …
1.0,Sensors and Smart …
1.0,Seventh Symposium on Novel Photoelectronic …
1.0,Seventh Symposium on Novel …
1.0,Seventh Symposium on …
1.0,Shock and Vibration
1.0,Signal Processing
1.0,Silicon
1.0,Silicon Photonics XVI
1.0,Simulation
1.0,Sixth International Conference on Parallel …
1.0,Small
1.0,Smart Biomedical and …
1.0,Smart Materials and Structures
1.0,Social Cognitive and Affective Neuroscience
1.0,Social Science & Medicine
1.0,Solid Earth
1.0,Solid Earth Discussions
1.0,SoutheastCon
1.0,SoutheastCon 
1.0,Stigma and Health
1.0,Strain
1.0,Structural Concrete
1.0,Structural Control and Health Monitoring
1.0,Structural Control and Health …
1.0,Structural Control and …
3.0,Structural Health Monitoring
1.0,Structural Health Monitoring: 8APWSHM
3.0,Structural health monitoring …
1.0,Structure and Infrastructure Engineering
1.0,Structure and Infrastructure …
1.0,Superconductor Science and Technology
1.0,Superconductor Science and …
1.0,Superlattices and …
1.0,Suplemento de la Revista …
1.0,Supportive Care in Cancer
1.0,Surface and Coatings …
1.0,Surveys in Geophysics
1.0,Sustainability
1.0,Symmetry
1.0,Systems of Signals Generating and Processing in …
1.0,Tagungsband 2. Tage der Standortauswahl
1.0,Tagungsband der DGZfP …
1.0,Talanta
1.0,Tectonophysics
1.0,Telecommunication Engineering
1.0,Terahertz
1.0,Textile Research Journal
1.0,The American Journal of …
1.0,The Annals of Family …
1.0,The Annals of Thoracic Surgery
1.0,The Astrophysical Journal …
1.0,The British Journal of …
1.0,The Counseling …
1.0,The European Physical Journal …
1.0,The International Journal of …
1.0,The Journal of Alternative …
1.0,The Journal of Asian Finance
1.0,The Journal of Individual Psychology
1.0,The Journal of Nutrition
1.0,The Journal of Physical Chemistry A
1.0,The Journal of Physical Chemistry C
1.0,The Journal of Physical …
1.0,The Journal of the Acoustical …
1.0,The Journal of the …
1.0,The Journals of Gerontology …
1.0,The Lancet Psychiatry
1.0,The Leading Edge
1.0,The Next Big Thing in Learning and …
1.0,The Pharmacogenomics …
1.0,The Proceedings of the 9th Frontier Academic …
1.0,The Scale-Up Effect in Early Childhood and Public …
1.0,Theory & Event
1.0,Theory & Psychology
1.0,Theranostics
1.0,Thermal Science and …
1.0,Tijdschrift voor Psychiatrie
1.0,Tourism Management
1.0,Toxicology and Industrial Health
1.0,TrAC Trends in Analytical Chemistry
1.0,TrAC Trends in Analytical …
1.0,Traitement du Signal
1.0,Transactional Analysis Journal
1.0,Transactions of the Institute of Measurement and …
1.0,Translational Behavioral Medicine
1.0,Translational Psychiatry
1.0,Translational Vision Science …
1.0,Trends in Wireless Communication and Information …
1.0,Trials
1.0,Tropical Journal of Pharmaceutical Research
1.0,Tuberculosis
1.0,Tunnelling and Underground Space Technology
1.0,Turkish Journal of Computer and Mathematics …
1.0,US Patent 10
1.0,US Patent App. 15/752
1.0,US Patent App. 16/397
1.0,US Patent App. 16/555
1.0,US Patent App. 16/706
1.0,US Patent App. 16/756
1.0,US Patent App. 16/830
1.0,US Patent App. 16/870
1.0,US Patent App. 16/880
1.0,US Patent App. 16/895
1.0,US Patent App. 17/008
1.0,US Patent App. 17/023
1.0,US Patent App. 17/027
1.0,US Patent App. 17/037
1.0,US Patent App. 17/259
1.0,Ultrasonics
1.0,Verhaltenstherapie
1.0,Vertical-Cavity Surface-Emitting Lasers XXV
1.0,View
1.0,Visual Computing for Industry
1.0,Voices of Forensic Science
1.0,Waste Management & …
1.0,Water Resources Research
1.0,Wireless Communications & Mobile Computing (Online …
1.0,Wireless Networks
1.0,World Neurosurgery
1.0,World psychiatry: official …
1.0,Zeitschrift für Naturforschung A
2.0,arXiv e-prints
2.0,arXiv preprint arXiv
2.0,arXiv preprint arXiv 
2.0,arXiv preprint arXiv …
2.0,arXiv preprint arXiv:.00015
2.0,arXiv preprint arXiv:.00155
1.0,arXiv preprint arXiv:.00471
2.0,arXiv preprint arXiv:.00492
1.0,arXiv preprint arXiv:.00521
2.0,arXiv preprint arXiv:.00676
2.0,arXiv preprint arXiv:.00847
1.0,arXiv preprint arXiv:.01110
2.0,arXiv preprint arXiv:.01163
2.0,arXiv preprint arXiv:.01402
1.0,arXiv preprint arXiv:.01551
1.0,arXiv preprint arXiv:.01626
1.0,arXiv preprint arXiv:.01664
2.0,arXiv preprint arXiv:.01691
1.0,arXiv preprint arXiv:.01744
1.0,arXiv preprint arXiv:.02296
1.0,arXiv preprint arXiv:.02464
2.0,arXiv preprint arXiv:.02485
1.0,arXiv preprint arXiv:.02493
1.0,arXiv preprint arXiv:.02683
2.0,arXiv preprint arXiv:.02809
2.0,arXiv preprint arXiv:.02905
1.0,arXiv preprint arXiv:.02958
1.0,arXiv preprint arXiv:.02975
2.0,arXiv preprint arXiv:.03289
1.0,arXiv preprint arXiv:.03605
1.0,arXiv preprint arXiv:.03674
1.0,arXiv preprint arXiv:.03761
1.0,arXiv preprint arXiv:.04049
2.0,arXiv preprint arXiv:.04069
1.0,arXiv preprint arXiv:.04184
1.0,arXiv preprint arXiv:.04538
1.0,arXiv preprint arXiv:.05091
2.0,arXiv preprint arXiv:.05101
1.0,arXiv preprint arXiv:.05178
1.0,arXiv preprint arXiv:.05423
2.0,arXiv preprint arXiv:.05459
1.0,arXiv preprint arXiv:.05505
1.0,arXiv preprint arXiv:.05517
1.0,arXiv preprint arXiv:.05594
2.0,arXiv preprint arXiv:.05836
1.0,arXiv preprint arXiv:.06173
2.0,arXiv preprint arXiv:.06232
2.0,arXiv preprint arXiv:.06274
2.0,arXiv preprint arXiv:.06465
2.0,arXiv preprint arXiv:.06527
2.0,arXiv preprint arXiv:.06554
1.0,arXiv preprint arXiv:.06960
2.0,arXiv preprint arXiv:.07058
2.0,arXiv preprint arXiv:.07099
1.0,arXiv preprint arXiv:.07153
1.0,arXiv preprint arXiv:.07251
2.0,arXiv preprint arXiv:.07309
2.0,arXiv preprint arXiv:.07822
1.0,arXiv preprint arXiv:.07870
2.0,arXiv preprint arXiv:.08135
1.0,arXiv preprint arXiv:.08335
2.0,arXiv preprint arXiv:.08670
2.0,arXiv preprint arXiv:.08892
2.0,arXiv preprint arXiv:.08913
2.0,arXiv preprint arXiv:.09101
2.0,arXiv preprint arXiv:.09297
2.0,arXiv preprint arXiv:.09509
2.0,arXiv preprint arXiv:.09618
2.0,arXiv preprint arXiv:.10073
1.0,arXiv preprint arXiv:.10191
2.0,arXiv preprint arXiv:.10246
2.0,arXiv preprint arXiv:.10494
2.0,arXiv preprint arXiv:.10562
1.0,arXiv preprint arXiv:.10672
2.0,arXiv preprint arXiv:.10801
1.0,arXiv preprint arXiv:.10939
2.0,arXiv preprint arXiv:.11265
1.0,arXiv preprint arXiv:.11801
2.0,arXiv preprint arXiv:.12150
1.0,arXiv preprint arXiv:.12356
1.0,arXiv preprint arXiv:.13003
2.0,arXiv preprint arXiv:.13258
2.0,arXiv preprint arXiv:.13599
1.0,arXiv preprint arXiv:.13646
1.0,arXiv preprint arXiv:.14571
2.0,arXiv preprint arXiv:.14809
2.0,arXiv preprint arXiv:.15353
1.0,arXiv preprint arXiv:.15538
2.0,arXiv preprint arXiv:.16890
2.0,arXiv preprint arXiv:.17068
1.0,bioRxiv
1.0,criterion
1.0,energy
1.0,links
1.0,medRxiv
1.0,physica status solidi (a)
1.0,psychotherapy
1.0,sensors
1.0,system
1.0,Автометрия
1.0,Динамика систем
1.0,Краткие сообщения по …
1.0,Наука та прогрес транспорту
1.0,Научно-технические …
1.0,ОРГАНІЗАЦІЙНИЙ КОМІТЕТ КОНФЕРЕНЦІЇ
1.0,Оптический журнал
1.0,Письма в Журнал …
1.0,Постулат
1.0,فصلنامه پرستاری دیابت
1.0,مجله پزشكي باليني ابن سينا
1.0,… & Biobehavioral Reviews
1.0,… (CBRNE) Sensing XXII
1.0,… : Distributed Optical Fiber Sensing …
1.0,… : New Directions in Relational Psychoanalysis and …
1.0,… : Official Publication of the …
1.0,… : Plan
1.0,… Artificial Intelligence: Philosophical
1.0,… Characterization and Monitoring of Advanced Materials …
1.0,… Conference on Wireless Communications and Signal …
1.0,… EAGE Workshop on Distributed Fibre Optic Sensing
1.0,… Electronics: Devices and …
1.0,… Frequency Generation and …
1.0,… Health Monitoring: Special Collection of  …
1.0,… Instrumentation Engineering VIII
1.0,… Journal of Electronics and Communication Engineering
1.0,… Journal of Remote Sensing
1.0,… Learning and Artificial Intelligence: Proceedings of …
1.0,… Materials: Applications in Integrated Electronic Devices
1.0,… Microresonators
1.0,… Nanosensors and Other Sensing …
1.0,… Non-Destructive Evaluation …
1.0,… Online : Distributed Optical Fiber Sensing …
1.0,… Optics: Devices
1.0,… Phenomena
1.0,… Plus Ultrasound: Imaging and Sensing
1.0,… Plus Ultrasound: Imaging and Sensing 
1.0,… Processing in the Field of on …
1.0,… Research and Applications
1.0,… Technologies Review/Revista de …
1.0,… Transactions on Geoscience and Remote Sensing
1.0,… Workshop on Distributed Fibre Optic Sensing
1.0,… Workshop on Distributed …
1.0,… and Coherence Domain Optical Methods in …
1.0,… and Coherence Domain …
1.0,… and Monitoring of …
1.0,… and Precision Engineering
1.0,… and Signal Processing: Advanced Concepts and …
1.0,… and Techniques in …
1.0,… and Therapeutic Medicine
1.0,… de la Unión Científica Internacional de …
1.0,… in Electronics Pervading Industry
1.0,… in Nonlinear Science and …
1.0,… journal of robotics research and application
6.0,… of Lightwave Technology
1.0,… of Structural and Biological Systems XV
1.0,… of the  CHI Conference on …
1.0,… on Distributed Fibre Optic Sensing
1.0,… on Inertial Sensors and Systems (INERTIAL …
1.0,… on Novel Photoelectronic Detection Technology and …
1.0,… on Systems
1.0,… to Child and Adolescent Mental Health …
1.0,中南大学学报(医学版)
2.0,中国光学
2.0,中国激光
1.0,人工晶体学报
2.0,光子学报
1.0,光学仪器
2.0,光学学报
2.0,光学技术
1.0,光散射学报
2.0,光电技术应用
1.0,光谱学与光谱分析
1.0,光通信技术
1.0,光通信研究
1.0,功能高分子学报
1.0,半导体光电
1.0,华东理工大学学报(自然科学版)
1.0,地球物理学报
1.0,太赫兹科学与电子信息学报
1.0,工程力学
1.0,强激光与粒子束
1.0,心理科学进展
1.0,日本大腸肛門病学会雑誌
2.0,激光与光电子学进展
2.0,物理学报
1.0,现代中医临床
1.0,生物技术通报
1.0,电子学报
1.0,红外
2.0,红外与激光工程
1.0,重庆邮电大学学报 (自然科学版)
